OBJECTID,County name,State name,State abbreviation,FIPS,Precip Above 99th pctl,Precip 1-day max,Precip 5-year max,Temperature average,Temp max 1-day ,Temp Days 100 F,Temp Days 105 F,Temp Days 95 F,Temp mean summer,Temp Days Min 70 F,Temp Days Min 0 F,Temp Days Min 32 F,Temp min summer,Precip Annual GWL2,Precip Days 99 pctl GWL2,Shape__Area,Shape__Length
1,Autauga County,Alabama,AL,01001,23.0129735846269,8.1008946519149,10.8663947205794,2.77818421941055,2.93715788816151,8.74757898481269,0.917500003388054,26.8001051451031,2.66723683633302,35.3854210502223,-0.0363157898383705,-13.1156579318799,2.94736840223011,4.6415964490489,22.2460576920282,2208625695.5,249567.996268489
2,Baldwin County,Alabama,AL,01003,15.0873137735853,5.97244118241703,6.51095098958296,2.58787254024955,2.81227451212266,4.78091176000296,0.218127449737022,27.6659019320619,2.5242549087487,30.5529901654113,-0.00970588238366569,-7.97112743994769,2.73427451358122,3.66266686308618,18.8296056805235,5743992386.45898,1089821.77184389
3,Barbour County,Alabama,AL,01005,18.9188420647069,7.22038598646197,10.9148596964384,2.66357895784211,3.11045613205224,8.98729827947784,1.22142105039797,26.5834035706102,2.63598244232044,36.7189472934656,-0.014561403575435,-10.6599298109088,2.78892984306603,4.47765114851165,21.6455634832382,3257820458.71094,319302.785565062
4,Bibb County,Alabama,AL,01007,23.3450683246959,10.1055000045083,15.9234091585333,2.85309092565016,3.00534091212533,8.43454546278173,0.964931815862655,24.8708180514249,2.75781817869707,36.007045399059,-0.0833409096706997,-14.6369999755513,3.07638636502353,3.97212513468482,27.898036810068,2312191184.34766,227908.465700332
5,Blount County,Alabama,AL,01009,31.6115910790183,12.286750013178,16.0660227428783,2.81827274235812,2.88979546590285,5.62359090284868,0.66861363297159,19.2173409895463,2.65409090844068,30.4347045638345,-0.146090909500014,-16.0148863358931,3.00438637625087,5.11247816952792,42.4366027287074,2456981053.80859,291354.812144227
6,Bullock County,Alabama,AL,01011,18.0872926479433,5.58490242609164,7.23702438284711,2.71070733302977,3.03134146550807,7.93329269130056,1.04221951525386,25.7301707384063,2.66026831254727,37.4637802868355,-0.0188048779964447,-11.8204877667311,2.84778050097024,4.18373628941978,21.6099431758024,2262904442.65625,248296.343458156
7,Butler County,Alabama,AL,01013,18.6822800254822,8.14727996826172,12.2172599983215,2.72995998859406,2.91308000087738,8.05371997833252,0.683079996109009,27.7494999313355,2.60738001823425,39.6097596740723,-0.024500000141561,-11.9038599777222,2.7950800037384,4.92377073764801,21.0902868543352,2794862326.57422,220916.246873247
8,Calhoun County,Alabama,AL,01015,25.8121219262844,10.8516829188277,13.9571950958996,2.84853655536,3.06943902736757,5.32558537692558,0.551658533695268,19.7637073470325,2.72531705949365,31.2555608051579,-0.110121951052328,-15.6333170867548,3.06890244018741,3.8418802226462,32.4017567378218,2300831381.36328,263700.738065548
9,Chambers County,Alabama,AL,01017,27.587459512659,8.49843237851117,6.23537840714326,2.74818918511674,3.0070540647249,5.97837837322338,0.585189187043422,21.1894595687454,2.61648651071497,31.472243334796,-0.0652162160825085,-14.7133513270198,2.87721622312391,4.90274166416477,32.3572790258071,2222809668.83594,208469.847647771
10,Cherokee County,Alabama,AL,01019,28.8534999847412,10.6464249849319,11.2520499944687,2.90797500610352,3.17667499184608,5.54820001125336,0.664424996823072,20.0260749340057,2.82132501006126,31.7710498809814,-0.134300000779331,-15.9767499446869,3.15024996995926,4.82384929656982,38.9560063969005,2275914436.54688,236879.697852668
11,Chilton County,Alabama,AL,01021,25.7285476412092,10.8036428860256,14.9844047682626,2.72330951690674,2.99033334709349,7.39695235661098,0.737690477853729,23.5848810559227,2.71607142970676,36.2790713537307,-0.0658095240415562,-13.7050714492798,3.03249999455043,5.25523668243772,26.4970654574308,2578717044.22656,248558.700007906
12,Choctaw County,Alabama,AL,01023,19.1550677671271,11.3582372665405,15.4152372812821,2.80723728971966,2.88183049428261,10.4822881504641,0.992542370901269,30.294339002189,2.74844067783679,36.5375424401235,-0.0498474578104787,-13.3554745851937,2.97977965565051,3.6892810918517,17.4098418786274,3327371902.02734,324905.986667732
13,Clarke County,Alabama,AL,01025,21.1085188901877,9.76815189892733,10.6177341726762,2.72465822968302,2.83265823653982,9.80873419966879,0.850772151464148,30.2665444627593,2.67344303070744,35.8116076022764,-0.0340253165392559,-12.195708854289,2.88226583034177,4.39089831521239,22.3828284415332,4492969696.06641,454955.624826686
14,Clay County,Alabama,AL,01027,26.4455001354218,9.80672497749329,12.6759749650955,2.8761499941349,3.10452498197556,3.97469998002052,0.304249998927116,17.3650250911713,2.77737499475479,25.8570499420166,-0.111050000041723,-16.160524892807,3.09747501015663,4.42160543203354,31.9953306477244,2251089355.49219,244297.486818096
15,Cleburne County,Alabama,AL,01029,26.5222647049848,9.520999992595,9.52417644332437,2.80508824656991,3.10582354489495,3.34861763084636,0.288970588322948,15.6650293855106,2.74502942141365,24.2570000816794,-0.156764707144569,-15.6462647213655,3.07738234015072,4.46281776007484,36.6591108345691,2103260405.83984,264752.367375515
16,Coffee County,Alabama,AL,01031,17.2641220092773,6.66802441201559,7.31317071216862,2.63504879067584,2.98073169661731,8.17275616017784,0.821463413354827,27.3971462714963,2.58412194252014,36.8687562709901,-0.0130975610781007,-10.6072195564828,2.75156097295808,5.60696212256827,28.4321224292119,2426948307.87891,203448.155272572
