OBJECTID,County name,State name,State abbreviation,FIPS,Precip Above 99th pctl,Precip 1-day max,Precip 5-year max,Temperature average,Temp max 1-day,Temp Days 100 F,Temp Days 105 F,Temp Days 95 F,Temp mean summer,Temp Days Min 70 F,Temp Days Min 0 F,Temp Days Min 32 F,Temp min summer,Precip Annual GWL3,Precip Days 99 pctl GWL3,Shape__Area,Shape__Length
1,Autauga County,Alabama,AL,01001,31.0239735653526,9.40363157422919,7.98821050242374,4.87886840418765,5.44663159470809,22.0754473334865,3.8188420973326,51.9667103416041,4.85863158577367,59.6918684306898,-0.0484473684704617,-20.218842155055,5.79676314404136,5.94501054914374,36.2318724904742,2208625695.5,249567.996268489
2,Baldwin County,Alabama,AL,01003,14.5160882052253,5.90997058270024,2.99928429503651,4.51755883646946,5.04688234422721,14.7600588050543,1.13415686019203,55.3783823649089,4.53051958832086,50.7124412387025,-0.00984313729785237,-11.7425294156168,5.16509806408602,3.75685645318499,17.9826648183715,5743992386.45898,1089821.77184389
3,Barbour County,Alabama,AL,01005,28.6676841535066,10.0817368490654,11.5723333526076,4.72512281986705,5.45410527681049,21.4095088557193,3.71315788804439,52.0363331175687,4.79838594637419,61.5523332294665,-0.0181929826442348,-16.6296491957547,5.63649125684772,6.34119385167172,33.0681537687778,3257820458.71094,319302.785565062
4,Bibb County,Alabama,AL,01007,30.3238181634383,10.9976817911322,11.6384544806047,4.96959089149128,5.53338636051525,20.5499771291559,4.00381817600944,49.0691589008678,4.97420452941548,62.538068077781,-0.0980000006542964,-22.8894090218977,5.94488635930148,5.18785677172921,36.3549119509183,2312191184.34766,227908.465700332
5,Blount County,Alabama,AL,01009,40.2763410915028,14.0214545726776,14.5424772609364,4.94406817176125,5.36113634976474,14.7789546359669,2.56188637289134,40.2259548360651,4.85093182867224,57.2031360973011,-0.184522726657716,-25.4803408709439,5.80981819196181,7.09922417727384,47.4469154124357,2456981053.80859,291354.812144227
6,Bullock County,Alabama,AL,01011,26.6425122516911,8.53178048715359,8.15992680991569,4.80770728646255,5.45217073254469,19.7097805767525,3.42402438419621,51.1005853792516,4.84899998874199,63.2257074495641,-0.0311707320464094,-18.4699999181236,5.71219510566898,6.12037295829959,31.9262030076008,2262904442.65625,248296.343458156
7,Butler County,Alabama,AL,01013,22.3987800979614,8.2454399394989,7.82417996406555,4.78363998413086,5.33059997558594,20.6724199295044,3.0895599937439,54.7796802520752,4.76909999847412,67.6129200744629,-0.0315399998053908,-18.1286999893188,5.59947999000549,5.16805401802063,27.8912722814651,2794862326.57422,220916.246873247
8,Calhoun County,Alabama,AL,01015,35.3440976491788,13.7284390054098,16.2089023590088,4.97078046566103,5.49756096630562,14.7060244257857,2.18853658583106,41.4298534858518,4.94982927601512,58.8489510140768,-0.120268293451972,-24.9398536682129,5.96485365890875,5.63746146457951,43.0639186572003,2300831381.36328,263700.738065548
9,Chambers County,Alabama,AL,01017,35.2361080066578,13.236378386214,12.6717297579791,4.84700001897039,5.33189192333737,15.2287837621328,2.20913511997945,43.6015676549963,4.76764865823694,61.3666486997862,-0.0763513512305311,-23.7437567324252,5.71302700042725,6.02934631141456,42.8438625560087,2222809668.83594,208469.847647771
10,Cherokee County,Alabama,AL,01019,41.9281497955322,14.3677749633789,15.0399751186371,5.05472500324249,5.63522502183914,15.3787249803543,2.52440001368523,41.7299750804901,5.11617500782013,58.8459748268127,-0.155925000458956,-25.5905499458313,6.08187501430512,6.66393412351608,54.465334111994,2275914436.54688,236879.697852668
11,Chilton County,Alabama,AL,01021,32.9540954771496,12.9695714768909,12.7585714203971,4.80897620746068,5.47285716874259,18.5611191022964,3.11880950133006,47.4980238051642,4.89933337484087,63.7792621794201,-0.081428571648541,-21.9939047949655,5.86509525208246,6.45874420801798,37.4788845331982,2578717044.22656,248558.700007906
12,Choctaw County,Alabama,AL,01023,22.2727118023371,9.45466094906047,11.1175423476656,4.9082033512956,5.44527120105291,26.0907965837899,4.33064405796892,56.8802374500339,5.00076268891157,61.852135739084,-0.0541016949435412,-20.6640678017826,5.95008476709915,3.6613460233656,25.3567960785657,3327371902.02734,324905.986667732
